Title,Author,Avg_Rating,Total_Ratings,Votes,Score
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,9819756,43890,4317361
Pride and Prejudice,Jane Austen,4.29,4759518,30385,2965069
To Kill a Mockingbird,Harper Lee,4.26,6829646,26569,2601822
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3770203,21164,2080101
The Book Thief,Markus Zusak,4.39,2858353,20238,1970342
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,7260071,17948,1760620
Animal Farm,George Orwell,4.02,4501567,17746,1714771
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.62,143641,17139,1654510
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,704889,15970,1533185
The Fault in Our Stars,John Green,4.12,5680897,14659,1416520
The Picture of Dorian Gray,Oscar Wilde,4.13,1856689,14260,1367560
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3408691,13108,1255259
Wuthering Heights,Emily Brontë,3.9,2024663,13007,1247137
The Giving Tree,Shel Silverstein,4.39,1228948,12865,1242918
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3770203,12486,1212991
Gone with the Wind,Margaret Mitchell,4.31,1254012,12303,1192803
The Perks of Being a Wallflower,Stephen Chbosky,4.24,1987472,12376,1189773
The Little Prince,Antoine de Saint-Exupéry,4.33,2450549,12295,1167997
Jane Eyre,Charlotte Brontë,4.16,2307906,12026,1144862
The Great Gatsby,F. Scott Fitzgerald,3.93,5865044,11924,1121456
Crime and Punishment,Fyodor Dostoevsky,4.29,1068132,11028,1059978
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2512499,10790,1026729
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,606748,10636,1009260
"Divergent (Divergent, #1)",Veronica Roth,4.13,4354655,10518,1003609
Les Misérables,Victor Hugo,4.21,840455,10171,968650
Memoirs of a Geisha,Arthur Golden,4.16,2103228,10086,968184
The Alchemist,Paulo Coelho,3.92,3534913,10026,960153
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1105676,10070,957637
Lord of the Flies,William Golding,3.7,3178533,10008,942682
Romeo and Juliet,William Shakespeare,3.74,2808508,9891,924129
Brave New World,Aldous Huxley,3.99,2063079,9892,923864
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,2005373,9090,876456
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2157647,9116,867921
The Help,Kathryn Stockett,4.47,3002580,9095,852941
Dracula,Bram Stoker,4.02,1464407,9076,845761
Fahrenheit 451,Ray Bradbury,3.97,2807195,8866,837144
Charlotte’s Web,E.B. White,4.21,2032906,8998,835987
1984,George Orwell,4.2,5402881,8702,817649
Of Mice and Men,John Steinbeck,3.9,2813246,8777,815701
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1468722,8398,804972
The Catcher in the Rye,J.D. Salinger,3.8,3869919,8551,796747
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2441766,8493,777194
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1096783,8033,764818
A Thousand Splendid Suns,Khaled Hosseini,4.45,1723191,8039,761623
The Outsiders,S.E. Hinton,4.14,1585197,8052,753263
The Secret Garden,Frances Hodgson Burnett,4.17,1288065,7965,728657
The Princess Bride,William Goldman,4.27,945442,7738,727149
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2719526,7702,723873
The Time Traveler's Wife,Audrey Niffenegger,4.0,1854254,7396,706222
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4086012,7399,687102
The Odyssey,Homer,3.83,1183518,7247,665099
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.9,1863367,7267,661892
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1278694,6880,642873
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2398088,6946,640094
The Kite Runner,Khaled Hosseini,4.36,3469615,6885,638204
"The Giver (The Giver, #1)",Lois Lowry,4.12,2787945,6875,636988
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4800186,6770,622745
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3429061,6603,601157
Dune (Dune #1),Frank Herbert,4.29,1614650,6282,585069
Where the Wild Things Are,Maurice Sendak,4.25,1057692,6331,580444
Green Eggs and Ham,Dr. Seuss,4.31,842594,6354,578840
The Lovely Bones,Alice Sebold,3.86,2456473,6172,572410
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,3.83,1334066,6255,567381
Life of Pi,Yann Martel,3.94,1746830,6023,557047
Lolita,Vladimir Nabokov,3.87,939783,5921,550337
A Tale of Two Cities,Charles Dickens,3.88,1008803,6001,546782
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1476068,5785,536521
The Bell Jar,Sylvia Plath,4.05,1206443,5618,518611
Matilda,Roald Dahl,4.33,1101138,5637,511174
Water for Elephants,Sara Gruen,4.11,1695348,5451,505285
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11317962,5091,482259
The Stand,Stephen  King,4.35,830755,4971,460285
Catch-22,Joseph Heller,3.99,883950,4969,455567
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,325051,4974,445117
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,825559,4718,438333
Rebecca,Daphne du Maurier,4.25,714649,4803,431343
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,504364,4672,427267
The Color Purple,Alice Walker,4.28,749151,4667,414729
Great Expectations,Charles Dickens,3.8,870094,4753,414485
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1147930,4388,409678
Anna Karenina,Leo Tolstoy,4.1,925534,4415,403287
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3125996,4377,396889
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,777563,4428,391549
The Brothers Karamazov,Fyodor Dostoevsky,4.39,382825,4159,378592
My Sister's Keeper,Jodi Picoult,4.11,1272308,4154,377642
A Clockwork Orange,Anthony Burgess,4.0,766254,4199,373608
To Kill a Mockingbird,Harper Lee,4.26,6829646,3931,362682
A Tree Grows in Brooklyn,Betty  Smith,4.3,509787,3882,353218
The Road,Cormac McCarthy,4.0,1028984,3804,346822
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1611887,3674,330814
The Elephant Tree,R.D. Ronald,3.9,40082,3546,330072
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,4163755,3649,325301
Siddhartha,Hermann Hesse,4.08,870652,3581,321465
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.1,678956,3436,319933
And Then There Were None,Agatha Christie,4.27,1598055,3485,311654
Don Quixote,Miguel de Cervantes Saavedra,3.91,303685,3525,311331
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,656704,3473,311013
The Old Man and the Sea,Ernest Hemingway,3.81,1301923,3490,304056
The Poisonwood Bible,Barbara Kingsolver,4.11,790830,3283,298557
The Complete Stories and Poems,Edgar Allan Poe,4.4,295078,3268,285757
The Zombie Room,R.D. Ronald,3.92,39912,3065,285482
Gone Girl,Gillian Flynn,4.15,3421861,2948,267271
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,646786,3032,266984
Atlas Shrugged,Ayn Rand,3.69,406154,2880,262082
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,982888,2935,261196
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,393909,3027,258814
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1831713,2907,258000
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11317962,2625,240363
Fahrenheit 451,Ray Bradbury,3.97,2807195,2653,239518
The Stranger,Albert Camus,4.03,1381665,2640,233833
"The Shining (The Shining, #1)",Stephen  King,4.28,1694035,2600,226307
"Moby-Dick or, The Whale",Herman Melville,3.56,613301,2558,221495
A Prayer for Owen Meany,John Irving,4.24,336169,2391,217198
Dark Places,Gillian Flynn,3.94,834129,2335,216114
A Story of Yesterday,Sergio Cobo,4.52,19177,2082,208196
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,4456111,2409,204282
Shutter Island,Dennis Lehane,4.14,223737,2222,204141
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,874447,2227,203124
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.3,4429228,2281,197084
It,Stephen  King,4.24,1258146,2173,192018
The Metamorphosis,Franz Kafka,3.9,1406092,2218,191833
The Girl on the Train,Paula Hawkins,3.96,3264628,2081,191784
The Secret Life of Bees,Sue Monk Kidd,4.1,1349141,2178,190101
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,1075001,2009,188861
The Red Tent,Anita Diamant,4.2,630011,2087,186285
Mystic River,Dennis Lehane,4.17,164489,2025,186183
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07,371517,2016,185637
The Master and Margarita,Mikhail Bulgakov,4.28,416547,1994,183040
Never Lie,Freida McFadden,4.08,1399799,1947,182540
Before I Go to Sleep,S.J. Watson,3.9,366994,1935,180605
None of This Is True,Lisa Jewell,4.08,1073479,1927,180397
Big Little Lies,Liane Moriarty,4.31,1109442,1933,179865
1984,George Orwell,4.2,5402881,1926,178977
The Paris Apartment,Lucy Foley,3.64,708409,1905,178435
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.95,557323,1895,177561
The Count of Monte Cristo,Alexandre Dumas,4.32,1016407,2010,176945
Lock Every Door,Riley Sager,3.89,296215,1884,176215
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.17,1533689,1880,176112
"You (You, #1)",Caroline Kepnes,3.96,290565,1880,175806
The Woman in the Window,A.J. Finn,3.94,880630,1874,175199
Perfume: The Story of a Murderer,Patrick Süskind,4.04,548446,1966,173937
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.72,762358,1846,172357
Pretty Girls,Karin Slaughter,4.01,693125,1834,171635
Home Before Dark,Riley Sager,4.04,308719,1824,170720
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,1139039,1932,170494
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2,195078,1836,170482
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,1930996,1931,169602
Fight Club,Chuck Palahniuk,4.18,640147,1932,168674
The Very Hungry Caterpillar,Eric Carle,4.34,545383,1957,168488
The Only One Left,Riley Sager,4.13,590396,1795,168101
The Couple Next Door,Shari Lapena,3.8,704777,1795,167865
Behind Closed Doors,B.A. Paris,3.97,746596,1799,167766
No Exit,Taylor  Adams,3.98,213155,1790,167321
Final Girls,Riley Sager,3.82,258640,1786,167240
"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,3.82,1132368,1788,167069
Looking for Alaska,John Green,3.96,1739704,1803,164689
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3129742,2014,164565
Then She Was Gone,Lisa Jewell,4.04,970056,1763,164227
A Flicker in the Dark,Stacy Willingham,3.97,592124,1752,163826
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.17,926842,1943,162049
The Adventures of Tom Sawyer,Mark Twain,3.92,1013523,1991,161359
Middlesex,Jeffrey Eugenides,4.04,662163,1806,161181
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.31,714882,1759,158706
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,1142567,1675,157242
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1589583,1804,156675
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.21,1189041,1778,156043
The Secret History,Donna Tartt,4.15,1012908,1686,153488
"Holes (Holes, #1)",Louis Sachar,4.01,1356411,1787,151530
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3634825,1758,151122
The Unbearable Lightness of Being,Milan Kundera,4.11,540104,1693,150701
The Name of the Rose,Umberto Eco,4.14,393855,1731,148890
On the Road,Jack Kerouac,3.61,446334,1682,147555
Where the Red Fern Grows,Wilson Rawls,4.13,439062,1703,146507
"The Godfather (The Godfather, #1)",Mario Puzo,4.4,461756,1713,145159
In Cold Blood,Truman Capote,4.09,725135,1708,144099
The Scarlet Letter,Nathaniel Hawthorne,3.44,915067,1755,141216
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.35,4119355,1639,140185
The Song of Achilles,Madeline Miller,4.3,1955753,1477,138775
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.1,988214,1556,137223
The Five People You Meet in Heaven,Mitch Albom,4.01,798179,1567,136614
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,171284,1598,135707
All Quiet on the Western Front,Erich Maria Remarque,4.11,517227,1580,135466
Watchmen,Alan             Moore,4.39,592175,1532,135391
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,583840,1666,134447
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,821586,1489,132027
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.57,236517,1461,130063
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,157035,1536,129830
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,741912,1422,128624
"Peter Pan (Peter Pan, #2)",J.M. Barrie,4.03,372993,1558,125458
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1205665,1453,122851
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1209242,1406,120177
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,2352527,1286,117212
Love in the Time of Cholera,Gabriel García Márquez,3.94,544543,1390,116953
"Insurgent (Divergent, #2)",Veronica Roth,3.96,1616753,1326,115980
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1352475,1376,115566
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,3135707,1235,115483
The Addiction Manifesto,Jerry Weaver,4.74,1261,1150,114964
A Walk to Remember,Nicholas Sparks,4.2,843232,1338,114753
How the Grinch Stole Christmas!,Dr. Seuss,4.38,445453,1453,113248
The Thorn Birds,Colleen McCullough,4.25,363988,1369,113211
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55,475602,1258,113175
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,337571,1319,112257
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1671182,1277,111464
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,380495,1218,109515
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9809,1259,109332
Their Eyes Were Watching God,Zora Neale Hurston,3.99,384704,1261,109193
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3634825,1218,108772
The Importance of Being Earnest,Oscar Wilde,4.17,404107,1343,108594
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,509006,1411,108491
Atonement,Ian McEwan,3.95,561331,1288,108237
The Three Musketeers,Alexandre Dumas,4.1,345774,1349,107587
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.39,4027177,1132,106221
The Lorax,Dr. Seuss,4.35,368307,1291,105439
"Eat, Pray, Love",Elizabeth Gilbert,3.64,1837434,1210,104580
The Diary of a Young Girl,Anne Frank,4.2,4159977,1282,103918
Goodnight Moon,Margaret Wise Brown,4.32,393882,1290,103845
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.5,233956,1218,103777
A Midsummer Night’s Dream,William Shakespeare,3.94,576382,1333,102273
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,724986,1286,102066
Bridge to Terabithia,Katherine Paterson,4.06,587690,1247,99866
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,371416,1120,98588
"The Selection (The Selection, #1)",Kiera Cass,4.07,1750822,1098,97795
Heart of Darkness,Joseph Conrad,3.43,555969,1196,97029
Tess of the D’Urbervilles,Thomas Hardy,3.84,301708,1184,96485
The Night Circus,Erin Morgenstern,4.0,1092171,1082,96206
The Call of the Wild,Jack London,3.91,470044,1233,94992
The Prophet,Kahlil Gibran,4.23,327293,1142,94812
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,326450,1067,93562
Alice in Wonderland,Jane Carruth,4.03,396649,1200,92449
The Joy Luck Club,Amy Tan,3.97,708351,1154,92376
The Phantom Tollbooth,Norton Juster,4.2,305735,1076,91727
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,260117,1117,91678
"Oh, the Places You’ll Go!",Dr. Seuss,4.37,440723,1165,91579
The Neverending Story,Michael Ende,4.18,219931,1108,91216
Madame Bovary,Gustave Flaubert,3.71,372723,1122,89680
Treasure Island,Robert Louis Stevenson,3.85,538000,1199,89272
Oliver Twist,Charles Dickens,3.88,426057,1195,88842
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,212562,1051,88487
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,842639,1024,88284
Jonathan Livingston Seagull,Richard Bach,3.86,271510,1066,86943
The Boy in the Striped Pajamas,John Boyne,4.16,958737,1061,86818
Ulysses,James Joyce,3.76,137413,1028,86774
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,1055715,1067,86289
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2846786,951,84260
